annee,groupe,espece,code_boite,temperature_cible,semaine,type_mesure,valeur,fichier_source,feuille_source,ligne_source,code_espece_local,code_souche,numero_souche_local,code_provenance,numero_boite_local
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,15,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,19,ephyrules,100.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,23,ephyrules,20.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,24,ephyrules,6.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,25,ephyrules,250.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,27,ephyrules,50.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,28,ephyrules,50.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,29,ephyrules,50.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,30,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,31,ephyrules,100.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,32,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,33,ephyrules,100.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,34,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,35,ephyrules,100.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,36,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,37,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,38,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,39,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,40,ephyrules,100.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,41,ephyrules,50.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,42,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,43,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,44,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,45,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,46,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,47,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,48,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,49,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,50,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,51,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,52,ephyrules,200.0,Suivi_2020.xlsx,Rhizostomae,144,SME,SME-JKA-1,1,JKA,01
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,1,polypes,200.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,2,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,3,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,4,polypes,200.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,5,polypes,200.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,6,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,7,polypes,50.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,8,polypes,50.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,9,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,10,polypes,100.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,11,polypes,200.0,Suivi_2020.xlsx,Rhizostomae,145,SME,SME-JKA-1,1,JKA,04
