code_souche,code_boite,espece,fichier_source,feuille_source
SMA-MAU-3,SMA-MAU-3.03,"Sanderia malayensis ""white""",Suivi_2024.xlsx,Semaestomeae
SMA-MAU-3,SMA-MAU-3.03,"Sanderia malayensis ""white""",Suivi_2025.xlsx,Semaestomeae
SMA-MAU-3,SMA-MAU-3.03,"Sanderia malayensis ""white""",Suivi_2026.xlsx,Semaestomeae
SMA-MAU-3,SMA-MAU-3.04,"Sanderia malayensis ""white""",Suivi_2025.xlsx,Semaestomeae
SMA-MAU-3,SMA-MAU-3.04,"Sanderia malayensis ""white""",Suivi_2026.xlsx,Semaestomeae
SME-JKA-1,SME-JKA-1.01,Stomolophus meleagris,Suivi_2020.xlsx,Rhizostomae
SME-JKA-1,SME-JKA-1.04,Stomolophus meleagris,Suivi_2020.xlsx,Rhizostomae
SME-JKA-1,SME-JKA-1.04,Stomolophus meleagris,Suivi_2022.xlsx,Rhizostomae
SME-JKA-1,SME-JKA-1.04,Stomolophus meleagris,Suivi_2023.xlsx,Rhizostomeae
SME-JKA-1,SME-JKA-1.05,Stomolophus meleagris,Suivi_2022.xlsx,Rhizostomae
SME-JKA-1,SME-JKA-1.06,Stomolophus meleagris,Suivi_2022.xlsx,Rhizostomae
SME-JKA-1,SME-JKA-1.07,Stomolophus meleagris,Suivi_2022.xlsx,Rhizostomae
SME-JKA-1,SME-JKA-1.07,Stomolophus meleagris,Suivi_2023.xlsx,Rhizostomeae
SME-JKA-1,SME-JKA-1.08,Stomolophus meleagris,Suivi_2023.xlsx,Rhizostomeae
SME-JKA-1,SME-JKA-1.09,Stomolophus meleagris,Suivi_2023.xlsx,Rhizostomeae
SME-JKA-1,SME-JKA-1.10,Stomolophus meleagris,Suivi_2023.xlsx,Rhizostomeae
SME-JKA-1,SME-JKA-1.01,Stomolophus sp.2,Suivi_2021.xlsx,Rhizostomae
SME-JKA-1,SME-JKA-1.04,Stomolophus sp.2,Suivi_2021.xlsx,Rhizostomae
SME-JKA-1,SME-JKA-1.05,Stomolophus sp.2,Suivi_2021.xlsx,Rhizostomae
THY-FGU-1,THY-FGU-1.01,Thyroscyphus sp.1 (white),Suivi_2025.xlsx,Hydrozoa
THY-FGU-1,THY-FGU-1.01,Thyroscyphus sp.2 (red),Suivi_2025.xlsx,Hydrozoa
