annee,groupe,espece,code_boite,temperature_cible,semaine,type_mesure,valeur_brute,valeur,statut_cellule,couleur_cellule,fichier_source,feuille_source,ligne_source,colonne_source,valeur_est_addition,code_espece_local,code_souche,numero_souche_local,code_provenance,numero_boite_local
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,30,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,12,35,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,31,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,12,36,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,32,ephyrules,0,0,standard,,Suivi_2025.xlsx,Aurelia,12,37,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,33,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,12,38,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,34,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,12,39,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,35,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,12,40,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.01,,36,ephyrules,0,0,standard,,Suivi_2025.xlsx,Aurelia,12,41,False,ACA,ACA-FBA-1,1,FBA,01
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,1,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,13,6,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,2,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,7,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,3,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,8,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,4,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,9,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,5,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,10,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,6,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,13,11,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,7,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,12,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,8,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,13,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,9,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,14,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,10,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,13,15,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,11,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,16,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,12,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,17,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,13,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,18,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,14,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,13,19,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,15,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,20,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,16,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,21,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,17,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,22,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,18,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,23,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,19,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,13,24,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,20,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,25,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,21,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,26,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,22,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,27,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,23,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,13,28,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,24,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,29,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,25,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,30,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,26,polypes,500.0,500,standard,,Suivi_2025.xlsx,Aurelia,13,31,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,27,polypes,500,500,standard,,Suivi_2025.xlsx,Aurelia,13,32,False,ACA,ACA-FBA-1,1,FBA,02
