annee,groupe,espece,code_boite,temperature_cible,semaine,type_mesure,valeur_brute,valeur,statut_cellule,couleur_cellule,fichier_source,feuille_source,ligne_source,colonne_source,valeur_est_addition,code_espece_local,code_souche,numero_souche_local,code_provenance,numero_boite_local,raison_anomalie_bloquante,raison_validation_metier
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,23,ephyrules,20.0,20,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,144,27,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,24,ephyrules,6.0,6,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,144,28,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,25,ephyrules,250.0,250,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,144,29,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,27,ephyrules,50.0,50,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,144,31,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,28,ephyrules,50.0,50,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,144,32,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,29,ephyrules,50.0,50,standard,FF9900,Suivi_2020.xlsx,Rhizostomae,144,33,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,30,ephyrules,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,144,34,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,31,ephyrules,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,144,35,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,32,ephyrules,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,144,36,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,33,ephyrules,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,144,37,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
